# This file has been generated by fmt_tab3.py
# 
# XX_std: standard deviation for value in column XX
# 
# species: species being measured
# ha: [kJ.mol-1] activation energy for temp dependence
# hd: [kJ.mol-1] deactivation energy for temp dependence
# k25: [µmol m-2.s-1] value of Jmax at 25°C
# k_opt: [µmol m-2.s-1] value of Jmax at t_opt
# t_opt: [°C] optimum temperature for Jmax
#
species;ha;ha_std;hd;hd_std;k25;k25_std;k_opt;k_opt_std;t_opt;t_opt_std
Abies alba;50.82;8.20;200.00;;95.49;5.73;128.15;7.69;33.20;0.78
Acer pseudoplatanus;44.14;10.02;200.00;;142.23;12.37;173.90;15.12;31.96;1.16
Betula pendula GH;42.83;4.09;200.00;;116.33;13.21;169.66;19.27;35.77;0.41
Betula pendula OTC;108.45;18.29;156.84;12.60;111.89;1.48;128.45;1.70;19.20;0.70
Eucalytus pauciflora;43.79;;200.00;;141.94;;175.13;;32.19;
Fagus sylvatica GH;48.09;7.86;200.00;;117.18;12.31;173.18;18.20;35.24;0.78
Fagus sylvatica ME;43.36;12.37;200.00;;44.83;7.50;51.89;8.68;30.78;0.65
Fraxinus excelsior;91.20;15.20;131.89;7.58;147.03;18.51;170.10;21.42;31.38;0.62
Glycine max;88.82;36.57;113.77;10.78;217.88;2.89;328.57;4.35;38.17;2.33
Gossypium hirsutum;77.17;;200.00;;131.82;;221.57;;34.44;
Juglans regia;56.30;8.59;200.00;;103.81;16.75;165.86;26.76;35.53;0.60
Pinus pinaster;34.83;9.24;200.00;;154.74;10.80;220.91;15.40;36.87;9.34
Pinus radiata fert.;43.18;12.41;200.00;;175.43;14.29;189.66;15.46;29.01;2.76
Pinus radiata unfert.;44.14;16.60;200.00;;136.57;17.66;145.99;18.85;28.63;3.21
Pinus sylvestris;100.28;17.76;147.92;10.28;70.77;2.65;78.36;2.93;19.89;0.73
Pinus taeda;37.87;394.31;200.00;;98.54;14.09;155.76;22.26;38.48;1213.00
Prunus persica;42.04;8.73;200.00;;106.27;7.83;154.81;11.41;35.87;1.56
Quercus petraea;42.14;2.99;200.00;;144.01;12.02;220.75;18.43;36.89;0.34
Quercus robur GH;36.92;7.19;200.00;;139.59;23.98;212.90;36.57;37.91;1.29
Quercus robur ME;35.87;13.52;200.00;;66.03;20.18;80.75;24.68;32.86;1.19
