# This file has been generated by fmt_tab2_peaked.py
# 
# XX_std: standard deviation for value in column XX
# 
# species: species being measured
# ha: [kJ.mol-1] activation energy for temp dependence
# hd: [kJ.mol-1] deactivation energy for temp dependence
# k25: [µmol m-2.s-1] value of vc_max at 25°C
# k_opt: [µmol m-2.s-1] value of vc_max at t_opt
# t_opt: [°C] optimum temperature for vc_max
#
species;ha;ha_std;hd;hd_std;k25;k25_std;k_opt;k_opt_std;t_opt;t_opt_std
Abies alba;60.02;9.88;200;;43.50;5.33;78.11;9.56;36.81;0.65
Acer pseudoplatanus;75.88;23.93;200;;78.16;11.01;136.28;19.20;34.95;1.21
Betula pendula GH;77.02;18.76;200;;69.09;14.72;177.31;37.78;39.20;3.76
Betula pendula OTC;63.75;11.40;200;;101.90;3.85;114.82;4.34;29.28;0.59
Eucalytus pauciflora;60.79;4.93;200;;90.42;;175.81;;37.83;3.54
Fagus sylvatica GH;72.36;15.34;200;;63.83;5.17;133.13;10.78;37.36;0.87
Fagus sylvatica ME;65.40;19.48;200;;27.51;2.93;49.25;5.24;36.16;3.63
Fraxinus excelsior;54.58;13.11;200;;78.43;9.60;235.89;28.88;45.52;36.87
Glycine max;69.50;24.37;200;;93.89;8.34;277.50;24.66;41.89;9.92
Gossypium hirsutum;116.38;;200;;90.22;;399.26;;40.60;
Juglans regia;104.58;23.56;200;;63.98;10.62;146.39;24.30;36.05;0.45
Pinus pinaster;74.16;11.17;200;;92.42;4.65;213.30;10.77;38.34;7.36
Pinus radiata fert.;51.32;19.21;200;;99.15;4.71;174.33;8.33;37.74;152.04
Pinus radiata unfert.;64.78;21.32;200;;85.86;17.70;171.59;35.81;37.68;125.99
Pinus sylvestris;69.83;12.56;200;;67.33;9.72;70.75;10.21;27.56;0.61
Pinus taeda;61.21;304.11;200;;57.66;9.43;340.45;55.63;53.30;47033.00
Prunus persica;75.14;23.38;200;;66.16;3.91;464.59;27.49;50.86;396.99
Quercus petraea;67.72;9.40;200;;79.11;8.10;244.53;25.04;42.77;6.96
Quercus robur GH;61.77;13.57;200;;89.71;11.92;295.01;39.19;44.87;25.44
Quercus robur ME;57.59;12.22;200;;42.32;13.42;84.97;26.94;38.76;10.69
