description,amount,transaction_dt_tm,note,budget_item_name,account_name
Eating Out,-15.59,2023-01-07 00:00:00,McBootstrap,Groceries,Checking
Grocery Trip,-277.34,2023-01-14 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-12.53,2023-01-14 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-01-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,-65.00,2023-01-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Prescription Refil,-25.00,2023-01-15 00:00:00,BVS,Healthcare,Checking
Roth IRA Contribution,-450.00,2023-01-15 00:00:00,Retirement Fund,Investments,Checking
Oil Change,-30.29,2023-01-15 00:00:00,Bootstrap Repair and Body,Transportation,Checking
Water Bill,-35.74,2023-01-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-01-20 00:00:00,BootFlix,Entertainment,Checking
Game Purchase,-60.00,2023-01-20 00:00:00,Balve,Entertainment,Checking
Eating Out,-15.82,2023-01-21 00:00:00,McBootstrap,Groceries,Checking
Rent,-800.00,2023-01-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-98.29,2023-01-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-01-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Gas Fillup,-32.50,2023-01-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-85.34,2023-01-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Cell Phone Bill,-80.00,2023-01-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Grocery Trip,-234.74,2023-01-28 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Paycheck,2000.00,2023-01-31 00:00:00,Direct deposit from work,Income,Checking
Accounts Transfer,-1000.00,2023-02-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-02-01 00:00:00,Saving money,Income,Savings
Eating Out,-10.41,2023-02-04 00:00:00,McBootstrap,Groceries,Checking
Grocery Trip,-233.41,2023-02-11 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-20.74,2023-02-11 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-02-15 00:00:00,Direct deposit from work,Income,Checking
