# This file has been generated by fmt_table2.py
#
# constant: name of variable
# unit: [none]]
# value: [unit]
# ref: reference paper
#
constant;unit;value;ref
sco_25;[bar.bar−1];2800.000;Bernacchi et al.
kmc_25;[µbar];270.000;Bernacchi et al.
kmo_25;[bar];165000.000;Bernacchi et al.
sco_act;[J.mol−1];-24460.000;Bernacchi et al.
vcmax_act;[J.mol-1];65330.000;Bernacchi et al.
kmc_act;[J.mol-1];80990.000;Bernacchi et al.
kmo_act;[J.mol-1];23720.000;Bernacchi et al.
rd_act;[J.mol-1];46390.000;Bernacchi et al.
jmax_act;[J.mol-1];60000.000;26900–94400 Yin et al.
jmax_act_min;[J.mol-1];26900.000; Yin et al.
jmax_act_max;[J.mol-1];94400.000; Yin et al.
jmax_deact;[J.mol-1];200000.000;Medlyn et al.
jmax_s;[J.K-1.mol−1];650.000;Harley et al.
gm_act;[J.mol-1];49600.000;Bernacchi et al.
gm_deact;[J.mol-1];437400.000;Bernacchi et al.
gm_s;[J.K-1.mol−1];1400.000;Bernacchi et al.
theta;[–];0.700;von Caemmerer
theta2;[–];0.700;von Caemmerer
s;[–];0.370;0.33–0.41 Yin et al.
s_min;[–];0.330;Yin et al.
s_max;[–];0.410;Yin et al.
phi1_ll;[mol.mol−1];0.980;0.95–1.0 Trissl and Wilhelm
phi2_ll;[mol.mol−1];0.750;Yin et al.
h;[mol.mol−1];4.000;3, 4, 14/3 Yin et al.
fpseudo;[–];0.100;Yin et al.
fq;[–];0.500;0–1 von Caemmerer
a1;[–];0.850;†
b1;[kPa−1];0.140;†
